lista,participantes,par,nomes,transcript,mantem,motivo
1,1v,parF.pontudo,trivomaniaco,tri-vo-ma-ni-'a-ko,n,palavra do pb
1,1w,parF.pontudo,patuskle,pa-'tus-kle,s,
1,1x,parF.pontudo,ertento,eR-'t~e-to,s,
1,1aa,parF.pontudo,frituê,fri-'tue,s,
1,1bb,parF.pontudo,verpa,veR-pa,s,
1,1cc,parF.pontudo,corângulo,ko-'r~a-gu-lo,n,palavra do pb
1,1dd,parF.pontudo,capangol,ka-p~a-'gow,s,
1,1ee,parF.pontudo,badi,ba-'di,s,
1,1ff,parF.pontudo,celeca,se-'le-ka,s,
1,1gg,parF.pontudo,firimesis,fi-ri-me-'zis,s,
1,1hh,parF.pontudo,cordam,koR-d~a,s,
1,1jj,parF.pontudo,firimesis,fi-ri-me-'zis,s,
1,1c,parF.redondo,oculpático,o-kuw-'pa-ti-ko,s,
1,1d,parF.redondo,campurio,k~a-pu-'rio,s,
1,1e,parF.redondo,ava,a-va,s,
1,1f,parF.redondo,grena,gre-na,s,
1,1g,parF.redondo,chaor,Sa-'oR,s,
1,1h,parF.redondo,lineiro,li-'nej-ro,s,
1,1i,parF.redondo,samala,sa-'ma-la,s,
1,1j,parF.redondo,zucoltre,zu-'kow-tre,s,
1,1l,parF.redondo,sucula,su-'ku-la,s,
1,1m,parF.redondo,lamarte,la-'maR-te,s,
1,1n,parF.redondo,querane,ke-'ra-ne,s,
1,1o,parF.redondo,quazar,kwa-'zaR,s,
1,1p,parF.redondo,noquahnto,no-kw~ato,n,outro
1,1q,parF.redondo,etaminje,e-ta-'m~i-Ze,s,
1,1r,parF.redondo,parcatô,paR-ka-'to,s,
1,1s,parF.redondo,oitosa,oj-'to-za,s,
1,1t,parF.redondo,blocado,blo-'ka-do,s,
1,1u,parF.redondo,sertopoda,seR-to-'po-da,s,
1,1v,parF.redondo,wellcioclome,wew-si-o-'klo-me,n,outro
1,1w,parF.redondo,blenx,bl~e-S,s,
1,1x,parF.redondo,valícete,va-'li-se-te,s,
1,1aa,parF.redondo,lentrilo,l~e-'tri-lo,s,
1,1bb,parF.redondo,banfe,b~a-fe,s,
1,1cc,parF.redondo,cincunono,s~i-ku-'no-no,s,
1,1dd,parF.redondo,estiróde,es-ti-'ro-de,s,
1,1ee,parF.redondo,cirflu,siR-'flu,s,
1,1ff,parF.redondo,lulete,lu-'le-te,s,
1,1gg,parF.redondo,NA,NA,n,
1,1hh,parF.redondo,zuembra,zu-'~e-bra,s,
